Year,Player,Pos,Team,,,
2001,Allen Iverson,G,Philadelphia Sixers,,,
2001,Tracy McGrady,GF,Orlando Magic,,,
2001,Vince Carter,SF,Toronto Raptors,,,
2001,Alonzo Mourning,C,Miami Heat,,,
2001,Grant Hill,SF,Orlando Magic,,,
2001,Ray Allen,SG,Milwaukee Bucks,,,
2001,Antonio Davis,FC,Toronto Raptors,,,
2001,Theo Ratliff,C,Philadelphia Sixers,,,
2001,Glenn Robinson,SF,Milwaukee Bucks,,,
2001,Jerry Stackhouse,SF,Detroit Pistons,,,
2001,Stephon Marbury,G,New Jersey Nets,,,
2001,Anthony Mason,PF,Miami Heat,,,
2001,Dikembe Mutombo,C,Atlanta Hawks,,,
2001,Latrell Sprewell,SG,New York Knicks,,,
2001,Allan Houston,G,New York Knicks,,,
2001,Jason Kidd,PG,Phoenix Suns,,,
2001,Kobe Bryant,SG,Los Angeles Lakers,,,
2001,Tim Duncan,FC,San Antonio Spurs,,,
2001,Shaquille O'Neal,C,Los Angeles Lakers,,,
2001,Chris Webber,F-C,Sacramento Kings,,,
2001,Michael Finley,G-F,Dallas Mavericks,,,
2001,Kevin Garnett,PF,Minnesota Timberwolves,,,
2001,Karl Malone,PF,Utah Jazz,,,
2001,Antonio McDyess,F,Denver Nuggets,,,
2001,Gary Payton,G,Seattle SuperSonics,,,
2001,Rasheed Wallace,FC,Portland Trail Blazers,,,
2001,David Robinson,C,San Antonio Spurs,,,
2001,Vlade Divac,C,Sacramento Kings,,,
2002,Dikembe Mutombo,C,Philadelphia Sixers,,,
2002,Vince Carter,SF,Toronto Raptors,,,
2002,Antoine Walker,F,Boston Celtics,,,
2002,Allen Iverson,G,Philadelphia Sixers,,,
2002,Ray Allen,SG,Milwaukee Bucks,,,
2002,Shareef Abdur-Rahim,F,Atlanta Hawks,,,
2002,Jason Kidd,PG,New Jersey Nets,,,
2002,Tracy McGrady,GF,Orlando Magic,,,
2002,Alonzo Mourning,C,Miami Heat,,,
2002,Paul Pierce,SF,Boston Celtics,,,
2002,Jermaine O'Neal,FC,Indiana Pacers,,,
2002,Baron Davis,G,Charlotte Hornets,,,
2002,Michael Jordan,SG,Washington Wizards,,,
2002,Shaquille O'Neal,C,Los Angeles Lakers,,,
2002,Tim Duncan,FC,San Antonio Spurs,,,
2002,Kevin Garnett,PF,Minnesota Timberwolves,,,
2002,Kobe Bryant,SG,Los Angeles Lakers,,,
2002,Steve Francis,G,Houston Rockets,,,
2002,Karl Malone,PF,Utah Jazz,,,
2002,Steve Nash,G,Dallas Mavericks,,,
2002,Dirk Nowitzki,PF,Dallas Mavericks,,,
2002,Gary Payton,G,Seattle SuperSonics,,,
2002,Peja Stojakovic,F,Sacramento Kings,,,
2002,Wally Szczerbiak,F,Minnesota Timberwolves,,,
2002,Chris Webber,F-C,Sacramento Kings,,,
2002,Elton Brand,PF,Los Angeles Clippers,,,
2003,Ben Wallace,FC,Detroit Pistons,,,
2003,Jermaine O'Neal,FC,Indiana Pacers,,,
2003,Tracy McGrady,GF,Orlando Magic,,,
2003,Allen Iverson,G,Philadelphia Sixers,,,
2003,Jason Kidd,PG,New Jersey Nets,,,
2003,Paul Pierce,SF,Boston Celtics,,,
2003,Antoine Walker,F,Boston Celtics,,,
2003,Zydrunas Ilgauskas,C,Cleveland Cavaliers,,,
2003,Michael Jordan,SG,Washington Wizards,,,
2003,Jamal Mashburn,SF,New Orleans Hornets,,,
2003,Vince Carter,SF,Toronto Raptors,,,
2003,Brad Miller,C,Indiana Pacers,,,
2003,Steve Francis,G,Houston Rockets,,,
2003,Yao Ming,C,Houston Rockets,,,
2003,Kobe Bryant,SG,Los Angeles Lakers,,,
2003,Kevin Garnett,PF,Minnesota Timberwolves,,,
2003,Tim Duncan,FC,San Antonio Spurs,,,
2003,Shaquille O'Neal,C,Los Angeles Lakers,,,
2003,Stephon Marbury,G,Phoenix Suns,,,
2003,Shawn Marion,F,Phoenix Suns,,,
2003,Steve Nash,G,Dallas Mavericks,,,
2003,Dirk Nowitzki,PF,Dallas Mavericks,,,
2003,Gary Payton,G,Seattle SuperSonics,,,
2003,Peja Stojakovic,F,Sacramento Kings,,,
2003,Chris Webber,F-C,Sacramento Kings,,,
2004,Steve Francis,G,Houston Rockets,,,
2004,Yao Ming,C,Houston Rockets,,,
2004,Kobe Bryant,SG,Los Angeles Lakers,,,
2004,Kevin Garnett,PF,Minnesota Timberwolves,,,
2004,Tim Duncan,FC,San Antonio Spurs,,,
2004,Shaquille O'Neal,C,Los Angeles Lakers,,,
2004,Andrei Kirilenko,PF,Utah Jazz,,,
2004,Dirk Nowitzki,PF,Dallas Mavericks,,,
2004,Peja Stojakovic,F,Sacramento Kings,,,
2004,Ray Allen,SG,Seattle SuperSonics,,,
2004,Brad Miller,C,Sacramento Kings,,,
2004,Sam Cassell,G,Minnesota Timberwolves,,,
2004,Ben Wallace,FC,Detroit Pistons,,,
2004,Jermaine O'Neal,FC,Indiana Pacers,,,
2004,Tracy McGrady,GF,Orlando Magic,,,
2004,Allen Iverson,G,Philadelphia Sixers,,,
2004,Vince Carter,SF,Toronto Raptors,,,
2004,Jason Kidd,PG,New Jersey Nets,,,
2004,Paul Pierce,SF,Boston Celtics,,,
2004,Baron Davis,G,New Orleans Hornets,,,
2004,Metta World Peace,SF,Indiana Pacers,,,
2004,Michael Redd,G,Milwaukee Bucks,,,
2004,Kenyon Martin,F,New Jersey Nets,,,
2004,Jamaal Magloire,C,New Orleans Hornets,,,
2005,Kobe Bryant,SG,Los Angeles Lakers,,,
2005,Tracy McGrady,GF,Houston Rockets,,,
2005,Kevin Garnett,PF,Minnesota Timberwolves,,,
2005,Tim Duncan,FC,San Antonio Spurs,,,
2005,Yao Ming,C,Houston Rockets,,,
2005,Manu Ginobili,SG,San Antonio Spurs,,,
2005,Amar'e Stoudemire,FC,Phoenix Suns,,,
2005,Ray Allen,SG,Seattle SuperSonics,,,
2005,Shawn Marion,F,Phoenix Suns,,,
2005,Steve Nash,G,Phoenix Suns,,,
2005,Dirk Nowitzki,PF,Dallas Mavericks,,,
2005,Rashard Lewis,F,Seattle SuperSonics,,,
2005,Allen Iverson,G,Philadelphia Sixers,,,
2005,LeBron James,F,Cleveland Cavaliers,,,
2005,Vince Carter,SF,New Jersey Nets,,,
2005,Shaquille O'Neal,C,Miami Heat,,,
2005,Grant Hill,SF,Orlando Magic,,,
2005,Gilbert Arenas,G,Washington Wizards,,,
2005,Antawn Jamison,F,Washington Wizards,,,
2005,Dwyane Wade,SG,Miami Heat,,,
2005,Zydrunas Ilgauskas,C,Cleveland Cavaliers,,,
2005,Jermaine O'Neal,FC,Indiana Pacers,,,
2005,Ben Wallace,FC,Detroit Pistons,,,
2005,Paul Pierce,SF,Boston Celtics,,,
2006,Steve Nash,G,Phoenix Suns,,,
2006,Kobe Bryant,SG,Los Angeles Lakers,,,
2006,Tracy McGrady,GF,Houston Rockets,,,
2006,Tim Duncan,FC,San Antonio Spurs,,,
2006,Yao Ming,C,Houston Rockets,,,
2006,Ray Allen,SG,Seattle SuperSonics,,,
2006,Elton Brand,PF,Los Angeles Clippers,,,
2006,Kevin Garnett,PF,Minnesota Timberwolves,,,
2006,Pau Gasol,FC,Memphis Grizzlies,,,
2006,Shawn Marion,F,Phoenix Suns,,,
2006,Dirk Nowitzki,PF,Dallas Mavericks,,,
2006,Tony Parker,G,San Antonio Spurs,,,
2006,Allen Iverson,G,Philadelphia Sixers,,,
2006,Dwyane Wade,SG,Miami Heat,,,
2006,LeBron James,F,Cleveland Cavaliers,,,
2006,Shaquille O'Neal,C,Miami Heat,,,
2006,Jermaine O'Neal,FC,Indiana Pacers,,,
2006,Chauncey Billups,G,Detroit Pistons,,,
2006,Chris Bosh,PF,Toronto Raptors,,,
2006,Vince Carter,SF,New Jersey Nets,,,
2006,Richard Hamilton,SG,Detroit Pistons,,,
2006,Paul Pierce,SF,Boston Celtics,,,
2006,Ben Wallace,FC,Detroit Pistons,,,
2006,Rasheed Wallace,FC,Detroit Pistons,,,
2006,Gilbert Arenas,G,Washington Wizards,,,
2007,Kobe Bryant,SG,Los Angeles Lakers,,,
2007,Tracy McGrady,GF,Houston Rockets,,,
2007,Kevin Garnett,PF,Minnesota Timberwolves,,,
