Team,Lat,Long,,,,,
MIA,25.761681,-80.191788,,,,,
BOS,42.361145,-71.057083,,,,,
ATL,33.753746,-84.38633,,,,,
SAS,29.424349,-98.491142,,,,,
OKC,35.481918,-97.508469,,,,,
LAL,34.052235,-118.243683,,,,,
CLE,41.505493,-81.68129,,,,,
TOR,43.65107,-79.347015,,,,,
CHI,41.881832,-87.623177,,,,,
POR,45.523064,-122.676483,,,,,
DAL,32.89748,-97.040443,,,,,
GSW,37.733795,-122.446747,,,,,
LAC,34.052235,-118.243683,,,,,
PHO,33.448376,-112.074036,,,,,
ORL,28.538336,-81.379234,,,,,
WAS,38.889484,38.889484,,,,,
HOU,29.749907,-95.358421,,,,,
DET,42.331429,-83.045753,,,,,
UTA,40.7683,111.9011,,,,,
IND,39.791,-86.148003,,,,,
NOH,29.951065,-90.071533,,,,,
NYK,40.7505,73.9934,,,,,
MIN,44.9795,93.2761,,,,,
DEN,39.742043,-104.991531,,,,,
MEM,35.1175,-89.971107,,,,,
NOP,29.951065,-90.071533,,,,,
PHI,39.952583,-75.165222,,,,,
SAC,38.575764,-121.478851,,,,,
NJN,40.650002,-73.949997,,,,,
NOK,29.951065,-90.071533,,,,,
SEA,47.608013,-122.335167,,,,,
MIL,43.038902,-87.906471,,,,,
CHO,35.227085,-80.843124,,,,,
CHA,35.227085,-80.843124,,,,,
BRK,40.650002,-73.949997,,,,,
